id	variety	type
266	Л-17-96	gbs
267	Л-17-268	gbs
268	Л-17-269	gbs
269	Л-17-271	gbs
270	Л-17-349	gbs
271	Л-17-66	gbs
272	Л-17-67	gbs
273	Л-17-267	gbs
274	Л-17-273	gbs
275	Л-17-274	gbs
276	Л-17-276	gbs
277	Л-17-277	gbs
278	Л-17-278	gbs
279	Л-17-279	gbs
280	Л-17-281	gbs
281	Л-17-282	gbs
282	Л-17-283	gbs
283	Л-17-284	gbs
284	Л-17-286	gbs
285	Л-17-287	gbs
286	Л-17-288	gbs
287	Л-17-289	gbs
288	Л-17-291	gbs
289	Л-17-292	gbs
290	Л-17-121	gbs
291	Л-17-122	gbs
292	Л-17-157	gbs
293	Л-17-162	gbs
294	Л-17-163	gbs
295	Л-17-166	gbs
296	Л-17-167	gbs
297	Л-17-169	gbs
298	Л-17-176	gbs
299	Л-17-181	gbs
300	Л-17-183	gbs
301	Л-17-184	gbs
302	Л-17-204	gbs
303	Л-17-214	gbs
304	Л-17-224	gbs
305	Л-17-236	gbs
306	Л-17-244	gbs
307	Л-17-249	gbs
308	Л-17-263	gbs
309	Л-17-379	gbs
310	Л-17-381	gbs
311	Л-17-317	gbs
312	Л-17-321	gbs
313	Л-17-324	gbs
314	Л-17-326	gbs
315	Л-17-331	gbs
316	Л-17-332	gbs
317	Л-17-389	gbs
318	Л-17-391	gbs
319	Л-17-392	gbs
320	Л-17-394	gbs
321	Л-17-422	gbs
322	Л-17-427	gbs
323	Л-17-428	gbs
324	Л-17-429	gbs
325	Л-17-432	gbs
326	Л-17-438	gbs
327	Л-17-441	gbs
328	Л-17-442	gbs
329	Л-17-443	gbs
330	Л-17-569	gbs
